Rk,G,1985 Playoffs,Series,Tm,,Opp,G#,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
164,6,1998-05-08,ECS,CHI,@,CHH,3,W (+14),1,39:00:00,9,20,0.45,0,1,0,9,10,0.9,3,2,5,6,1,0,3,3,27,19.9
165,7,1998-05-10,ECS,CHI,@,CHH,4,W (+14),1,40:00:00,14,31,0.452,0,1,0,3,3,1,0,3,3,4,1,0,2,1,31,17.2
166,8,1998-05-13,ECS,CHI,,CHH,5,W (+9),1,42:00:00,15,29,0.517,0,3,0,3,4,0.75,1,3,4,3,2,1,0,3,33,23.5
167,9,1998-05-17,ECF,CHI,,IND,1,W (+6),1,41:00:00,11,28,0.393,0,0,,9,10,0.9,2,4,6,1,5,0,1,1,31,22.3
168,10,1998-05-19,ECF,CHI,,IND,2,W (+6),1,42:00:00,13,22,0.591,0,1,0,15,18,0.833,0,4,4,5,4,0,0,3,41,37.1
169,11,1998-05-23,ECF,CHI,@,IND,3,L (-2),1,43:00:00,9,22,0.409,2,3,0.667,10,12,0.833,1,3,4,7,1,0,5,3,30,18.7
170,12,1998-05-25,ECF,CHI,@,IND,4,L (-2),1,41:00:00,12,27,0.444,1,3,0.333,3,4,0.75,2,3,5,2,0,2,6,4,28,11
171,13,1998-05-27,ECF,CHI,,IND,5,W (+19),1,36:00:00,12,20,0.6,2,4,0.5,3,4,0.75,1,6,7,4,1,1,0,2,29,25.6
172,14,1998-05-29,ECF,CHI,@,IND,6,L (-3),1,42:00:00,12,23,0.522,1,4,0.25,10,11,0.909,1,4,5,2,1,0,3,4,35,23
173,15,1998-05-31,ECF,CHI,,IND,7,W (+5),1,42:00:00,9,25,0.36,0,0,,10,15,0.667,5,4,9,8,0,0,2,3,28,19.2
174,16,1998-06-03,FIN,CHI,@,UTA,1,L (-3),1,46:00:00,13,29,0.448,1,2,0.5,6,8,0.75,1,2,3,2,0,2,0,3,33,20
175,17,1998-06-05,FIN,CHI,@,UTA,2,W (+5),1,40:00:00,14,33,0.424,0,2,0,9,10,0.9,3,2,5,3,1,1,0,2,37,24.8
176,18,1998-06-07,FIN,CHI,,UTA,3,W (+42),1,32:00:00,7,14,0.5,0,0,,10,11,0.909,1,2,3,2,1,1,2,1,24,18.6
177,19,1998-06-10,FIN,CHI,,UTA,4,W (+4),1,43:00:00,12,27,0.444,0,0,,10,15,0.667,3,5,8,2,2,0,3,1,34,21.5
178,20,1998-06-12,FIN,CHI,,UTA,5,L (-2),1,45:00:00,9,26,0.346,0,2,0,10,11,0.909,1,3,4,4,3,0,4,4,28,14.8
